stop_desc,stop_lat,stop_name,stop_lon,stop_id
This stop is located on the south side of E Grimes Ln. at the southwest corner of the intersection with S Henderson St..,39.153259,Grimes  & Henderson ,-86.527092,45155
This stop is located on the west side of S Henderston St.at the northwest corner of the intersection with E Driscoll Dr..,39.152489,Henderson  & Driscoll ,-86.527023,45156
This stop is located on the south side of E Hillside Dr. west of intersection with S Henderson St. across from  Templeton Elementary School serving outbound travel.,39.150494,Hillside  & Henderson  ,-86.52607,45157
This stop is located on the south side of E Winding Way at the southwest corner of the intersection with N Kingsley  Dr. serving outbound travel.,39.19791,Winding Way & Kingsley ,-86.543327,45158
This stop is located on the west side of S Walnut St. south of W Country Club Rd. near the CVS.,39.134377,Walnut  & Country Club ,-86.53154,45159
This stop is located on the west side of S Walnut St. at the northwest corner of the intersection with E Burks Dr..,39.126778,Walnut  & Burks ,-86.531433,45160
This stop is located on the north side of W Briarcliff Dr. at the norhteast corner of the intersection with N Kingsley Dr. serving outbound travel.,39.194241,Briarcliff  & Kingsley ,-86.542168,45161
This stop is located on the east side of N Valleyview Dr. at the southeast corner of the intersection with E Winding Way serving outbound travel.,39.196346,Valleyview  & Winding Way,-86.546646,45162
This stop is located on the south side of E Winding Way at the southeast corner of the intersection with N Windcrest Dr. serving outbound travel.,39.196583,Winding Way & Windcrest ,-86.545609,45163
This stop is located on the west side of S Walnut St. between E Burks Dr. and W Gordon Pike in next to the entrance to the Recycling Center and Animal Shelter.,39.124207,S Walnut  @ Recycle Center,-86.531441,45164
This stop is located on the south side of E Rhorer Rd. west of the intersection with S Kennedy Dr. and just east of the entrance to Clear Creek Shopping Center. It is the Route 1S Start/End point.,39.121365,Rhorer  @ Clear Creek Shopping Center,-86.529243,45165
This stop is located on the west side of N Pete Ellis Dr. at the northwest corner of the intersection with E Amy Ln. the entrance to Cedargate Apartments serving inbound (3L) and southbound (8) travel.,39.169292,Pete Ellis  & Amy  @ Cedargate,-86.496033,45166
This stop is located on the south side of E 3rd St. east of the intersection with S Smith Rd.  serving inbound (3) and northbound (8) travel.,39.164143,3rd  & Smith ,-86.480453,45167
This stop is located on the north side of E Morningside Dr. at the northeast corner of the intersection with N Smith Rd. serving inbound (3L) and southbound (8) travel.,39.166332,Morningside  & Smith  ,-86.481186,45168
"This stop is a shelter located on the north side of E 10th St. just east of the intersection with N Barrington Dr. the entrance to Barington Place and The Crest Apartments serving  inbound (3L), westbound (6), and southbound (8) travel.",39.17178,10th  & Barrington ,-86.489067,45169
This stop is located on the north side of E Morningside Drive at the northeast corner of the intersection with N Sheffield Dr. serving inbound (3L) and southbound (8) travel.,39.167004,Morningside  & Sheffield ,-86.479652,45170
This stop is located on the north side of E Morningside Drive at the northeast corner of the intersection with N Park Ridge Rd. serving inbound (3L) and southbound (8) travel.,39.167255,Morningside  & Park Ridge ,-86.475189,45171
This stop is located on the east side of E Morningside Drive north of the intersection with E 3rd St. serving inbound (3L) and southbound (8) travel.  It is the Route 8 Start/End Point.,39.16465,Morningside  & 3rd ,-86.473602,45172
This stop is located on the south side of E 3rd St. just west of the intersection with S Parkridge Rd. serving inbound (3) and northbound (8) travel.,39.164158,3rd  & Park Ridge ,-86.476631,45173
This stop is located on the west side of N Morton St. at the northwest corner of the intersection with W 6th St.. There is no sign at the stop.,39.167698,Morton  & 6th ,-86.536247,45174
This stop is a shelter located on the west side of N Morton St. just south of the intersection with W 9th St. in front of the Showers Complex that houses City of Bloomington and Monroe County Government Offices.,39.170231,Morton  & 9th @ Showers ,-86.536232,45176
This stop is located on the west side of N Washington St. just north of the intersection with E Kirkwood Ave..,39.166744,Washington  & Kirkwood ,-86.532379,45177
This stop is located on the west side of N Jordan Ave. south of the intersection with E 10th St. next to the IU Wells Library and across from the Wright Quad circle drive.,39.170353,Jordan  @ Wells Library,-86.516144,45178
This stop is located on the west side of S Colllege Ave. north of  intersection with W 2nd St..,39.161732,College  & 2nd ,-86.534981,45179
"This stop is located on the north side of E 3rd St. east of the intersection with S Indiana Ave. north of the IU Law School serving inbound (3, 4, 5, 9) and outbound (7) travel.",39.164352,3rd  & Indiana ,-86.526588,45180
"This stop is located on the north side of E 3rd St. between S Woodlawn Ave. and S Fess Ave. in front of Swain Hall East on the IU Campus serving inbound (3, 4, 5, 9) and outbound (7) travel. ",39.164314,3rd  @ Swain Hall East,-86.524139,45181
"This stop is an IU bus shelter located on the north side of E 3rd St. between S Faculty Ave. and S Woodlawn Ave. in front of Jordan Hall (Chemistry Building) on the IU Campus serving inbound (3, 4, 5, 9) and outbound (7) travel.",39.164314,3rd  @ Jordan Hall,-86.521812,45182
This stop is located on the west side of S Colllege Ave. south of intersection with W 3rd St. in front of the Convention Center and Courtyard Marriott.,39.163948,College  & 3rd  @ The Convention Center,-86.534981,45184
This stop is located on the north side of E 3rd St. between S Washington St. and S Lincoln St. across from the Bloomington Police Department serving outbound travel.,39.164684,3rd  & Washington ,-86.531898,45185
This stop is located on the north side of E 2nd St. west of the intersection with S College Mall Rd. in front of College Mall Apartments.,39.161007,2nd  @ College Mall Apartments,-86.500473,45186
This stop is located on the east side of S Sare Rd. at the northeast corner of intersection with E Winston St. serving northbound travel.,39.145287,Sare  & Winston ,-86.496933,45187
This stop is located on the west side of S Sare Rd. at the northwest corner of the intersection with E Rogers Rd. serving southbound travel.,39.136169,Sare  & Rogers ,-86.496574,45188
This stop is located on the north side of E 2nd St. just east of the intersection with S Woodscrest Dr..,39.160995,2nd  & Woodscrest ,-86.502281,45189
This stop is located on the north side of W Briarcliff Dr. between N Kinglsey Dr. and N Valleyview Dr. serving outbound travel.,39.194256,Briarcliff Drive,-86.545166,45190
This stop is located on the east side of N Kinser Pike between W Skyline Dr. and N Skyline Dr. in front of the Skate Park.,39.192078,Kinser Pike @ The Skate Park,-86.537613,45191
"This stop is located on the north side of E 10th St. east of the intersection with N Pete Ellis Dr. in front of Fountain Park Apartments serving  inbound (3L), westbound (6), and southbound (8) travel.",39.171577,10th  @ Fountain Park ,-86.494003,45192
"This stop is a shelter located on the north side of E 10th St. just east of the intersection with N Woodbridge Dr. the entrance to Woodbridge III Apartments serving  inbound (3), westbound (6), and southbound (8) travel.",39.171635,10th  & Woodbridge  ,-86.490601,45193
This stop is located on the north side of E Miller Dr. east of the intersection with S Henderson St. in front of the Monroe County Public Health Clinic and the Iron Pit Gym.,39.146984,Miller  @ County Health ,-86.529007,45194
"This stop is located on west side of S Walnut St. south of W Pinewood Dr. in front of 3098 S Walnut St., Bloomington Auto Center.",39.130428,S Walnut  @ Bloomington Auto Center,-86.531525,45195
This stop is located on the east side of S Kingston Dr. south of the intersection with E 3rd St. near the entrance to the parking lot for Kmart The bus stops here for both travel directions.,39.163307,Kingston  @ Kmart,-86.492989,45196
This stop is located on the west side of S Kingston Dr. south of the intersection with E 3rd St. near the north entrance to the parking lot for Target. The bus stops here for both travel directions,39.163525,Kingston  @ Target,-86.493134,45197
This stop is a shelter located in the parking lot at the northeast entrance to College Mall between Target and Macys. The bus stops here for both travel directions.,39.161133,College Mall Shelter,-86.493111,45198
This stop is a shelter on the north side of  the eastern end of the main drive through Eastland Plaza close to S College Mall Dr. across from Kinkos/UPS Store. It is the first of two stops in Eastland Plaza serving inbound travel.,39.163036,Eastland Plaza,-86.499069,45199
This stop is located on the west side of S Woodscrest Dr. south of the intersection with E 3rd St. in front Promptcare serving outbound  (3) and southbound (8) travel.,39.163754,Woodscrest  & 3rd ,-86.502533,45200
This stop is located on the south side of W 3rd St. at the southeast corner of the intersection with S Johnson Ave. serving inbound travel.,39.164417,3rd  & Johnson ,-86.564796,45201
This stop is located on the south side of W 3rd St. just east of the intersection with S Kimble Dr. in front of AutoZone serving inbound travel.,39.164421,3rd  & Kimble  @ AutoZone,-86.567482,45202
This stop is located on the west side of S Liberty Dr. south of the intersection with  W 3rd St. next to the entrance to the parking lot for the westside Kroger Grocery Store.,39.163403,Liberty  @ Kroger West ,-86.579239,45203
This stop is located on the south side of W 3rd St. west of the intersection with S Liberty Dr. in front of the Verizon Store and westside Krogers Grocery.,39.164505,3rd  & Liberty  @ Verizon,-86.580063,45204
This stop located at the stop sign near the intersection of the main East-West and the North Entrance Dive to Whitehall Plaza just west of Kmart. This is the second of three inbound stops for Whitehall Plaza.,39.162701,Whitehall Plaza @ Kmart ,-86.576279,45205
This stop is located near the west entrance to Whitehall Plaza in front of CVS serving inbound travel. This  is the first of three inbound stops in Whitehall Plaza.,39.162712,Whitehall Plaza @ Planet Fitness,-86.578087,45206
This stop is located on the north side of W Woodside Dr. at the northeast corner of the intersection with S Park Square Dr. This is the third of three inbound stops in Orchard Glen Apartment Complex.,39.156918,Woodside  & Park Square  ,-86.591637,45207
This stop is a shelter located on the north side of W Woodside Dr. at the northeast corner of the intersection with S Sugar Maple Cir. This is the second of three inbound stops in Orchard Glen Apartment Complex.,39.156818,Woodside  & Sugar Maple  ,-86.589546,45208
This stop is located on the east side of S Hickory Dr. just south of the intersection with W 3rd St. next to Old National Bank.,39.164295,Hickory & 3rd ,-86.585793,45209
This stop is located on the east side of S Park Square Dr. at thesoutheast corner of the intersection with W Sunset Dr. serving inbound travel.,39.161137,Park Square  & Sunset  ,-86.591782,45210
"This stop is a shelter located on the east side of S Henderson St. across from the intersection with E Melrose Ave., the entrance to Regency Court Apartments.",39.149212,Henderson  @ Regency Court ,-86.526855,45211
This stop is located on the west side of N College Ave. between W 14th St. and W 15th St. across from the CVS Pharmacy serving inbound (2) and eastbound (6) travel.,39.176468,College  & 15th ,-86.534859,45212
This stop is located on the south side of W 11th St. at the southwest corner of the intersection with N Maple St. serving inbound travel.,39.173222,11th  & Maple ,-86.542183,45213
This stop is located on the west side of N Blair Ave. just north of the intersection with W 11th St..,39.173458,Blair  & 11th ,-86.543854,45214
This stop is located on the east side of N Maple St. just south of the intersection with W 15th St..,39.176506,Maple  & 15th ,-86.54203,45215
This stop is located on the east side of N Maple St. just south of the intersection with W 13th St..,39.175018,Maple  & 13th ,-86.542015,45216
This stop is located on the east side of N Maple St. at the southeast corner of the intersection with W 17th St..,39.178932,Maple  & 17th ,-86.541969,45217
This stop is located on the east side of N Maple St. in front of Sunflower Apartments and across from the entrance to Willowbrook Apartments.,39.177994,Maple  @ Sunflower Apartments,-86.541992,45218
"This stop is located on the south side of W 17th St. just west the intersection with N Jackson St., across from the entrance to Jackson Heights Apartments.",39.178967,17th  & Jackson ,-86.539909,45219
This stop is located on the east side of S Maxwell St. at the southeast corner of the intersection with E Hillside Dr..,39.150482,Maxwell  & Hillside ,-86.515038,45220
This stop is located on the east side of S Maxwell St. at the southeast corner of the intersection with E Thornton Dr. serving inbound travel.,39.148205,Maxwell  & Thornton ,-86.51503,45221
This stop is located on the south side of E Winslow Rd. at the southwest corner of the intersection with S Westminster Way.,39.135891,Winslow  & Westminster Way,-86.522049,45222
This stop is located on south side of E Miller Dr. at the southwest corner of the intersection with S Maxwell St..,39.146736,Miller  & Maxwell ,-86.515144,45223
This stop is located on south side of E Miller Dr. at the southeast corner of the intersection with S Covey Ln. serving inbound travel.,39.14677,Miller  & Covey ,-86.51619,45224
This stop is located on the west side of N Morton St. at the northwest corner of the intersection with E 7th St. serving inbound travel.,39.168633,Morton & 7th ,-86.536201,45225
This stop is located on the north side of E Miller Dr. west of S Walnut St. in front of Sassafras Apartments.,39.146965,Miller  @ Sassafras ,-86.531647,45226
This stop is located at the northeast corner of the intersection of S Walnut St. and E North Dr.  The sign is on N Walnut St. just north of the intersection. The route 1S inbound bus stops on N Walnut St. and the Route 7 outbound bus stops on E North Dr..,39.144203,Walnut  & North ,-86.531693,45227
This stop is located on the north side of E Miller Dr. west of the intersection with S Huntington Dr. across from Walnut Woods Apartments serving outbound travel.,39.146919,Miller  @ Walnut Woods ,-86.522362,45228
This stop is located on the north side of E Miller Dr. at the northeast corner of the intersection with S Park Ave. serving outbound travel.,39.14695,Miller  & Park ,-86.524185,45229
This stop is located on the north side of E Miller Dr. at the northeast corner of the intersection with S Henderson St. serving outbound travel.,39.147018,Miller  & Henderson ,-86.526749,45230
This stop is the Downtown Terminal Station at the northwest intersection with E 4th St. and N Washington St. It is the Transfer Point for Routes 1-2-3-4-5,39.165661,4th & Washington ,-86.532707,45231
This stop is located on the north side of Grimes Ln. east of the intersection with N Walnut St. at the entrance to the gas station.,39.153431,Grimes  & Walnut ,-86.533218,45232
This stop is located on the east side of S Huntington Dr. north of the intersection with E Miller Dr..,39.147175,Huntington  & Miller ,-86.520782,45233
This stop is located on the south side of E Winslow Rd. between S Walnut St. and S Henderson St. near the western parking lot entrance to Pizza Hut and east of the Marathon gas station serving inbound travel. This stop is the  Route 7 Start/End Point.,39.135883,Winslow  & Henderson ,-86.530151,45234
This stop is located at the south end of the Colonial Crest Apartments Complex across near the office. It is the third of four stops for the Apartments.,39.182209,Colonial Crest Office,-86.540337,45235
This stop is a shelter located on the east side of the Colonial Crest Apartments Complex. It is located at the N Kinser Pike entrance and is the forth of four stops for the Apartments.,39.182278,Colonial Crest @ Kinser Pike ,-86.537933,45236
This stop is a shelter located on the north side of the Colonial Crest Apartments Complex. It is located at the W Gourley Pike entrance and is the first of four stops for the Apartments. It is the Route 6 Start/End Point,39.18499,Colonial Crest @ Gourley Pike,-86.541519,45237
This stop is a shelter located in the center of the Colonial Crest Apartments Complex across from the pool. It is the second of four stops for the Apartments.,39.183372,Colonial Crest Pool ,-86.540741,45238
This stop is located on the north side of E 10th St. at the northwest corner of the intersection with N Campbell Dr. across from Wright Quad and west of the Health Center on the IU Campus serving inbound (9) and westbound (6) travel.,39.171635,10th  & Campbell  ,-86.514038,45239
This stop is located on the east side of N Kinser Pike at the southeast corner of the intersection with W Gourley Pike.,39.184978,Kinser Pike & Gourley Pike,-86.537651,45240
This stop is located on the north side of E 10th St. between N Union St. and N Sunrise Dr. in front of the Crosstown Shopping Center serving inbound (9) and westbound (6) travel.,39.171631,10th  @ Crosstown,-86.511467,45241
This stop is located on the south side of E Coventanter Dr. at the intersection with S Stratum Way in front of Covenanter Hill Apartments South.,39.155289,Covenanter @ Covenanter Hills Apts,-86.494446,45242
This stop is a shelter located on the south side of E Coventanter Dr. west of S Clarizz Blvd. next to Campus Corner Apartments and across from the Stone Cutters Transit Cafe serving outbound travel.,39.153755,Covenanter  @ Campus Corner,-86.492577,45243
This stop is located on the south side of E 3rd St. east of the intersection with S High St. in front of St. Charles Catholic Church serving outbound travel.,39.164169,3rd  & High ,-86.507774,45244
This stop is located on the south side of E 3rd St. at the southwest corner of the intersection with S Clark St. next to the entrance to First United Church serving outbound travel.,39.164165,3rd  & Clark ,-86.505013,45245
This stop is located on the east side of S Clarizz Blvd. between E Stratum Way and E Buick Cadillac Blvd. across from The Woods at Latimer Apartments serving outbound travel.,39.157921,Clarizz Boulevard @ The Woods ,-86.490227,45246
This stop is located on the east side of S Clarizz Blvd. at the southeast corner of the intersection with E Buick Cadillac Blvd. serving outbound travel.,39.159496,Clarizz & Buick Cadillac,-86.490517,45247
This stop is located on the east side of S Clarizz Blvd. north of E Covenanter Dr. across from Covenanter Hill Apartments East.,39.154659,Clarizz Boulevard @ Covenanter,-86.490685,45248
This stop is located on the west side of N Colllege Ave. north of intersection with W 11th St. in front of the Scholars Inn serving inbound (2) and eastbound (6) travel.,39.173809,College  & 11th ,-86.534935,45249
This stop is located on the west side of S Rogers St. half way between W Wilson St. and  W Hillside Dr. north of the cross walk.,39.151134,Rogers  & Hillside,-86.538864,45250
This stop is located on the west side of S Rogers St. south of the intersection with W Driscoll Dr. in front of the IU Health Southern Indiana Physician's Office.,39.15237,Rogers  & Driscoll ,-86.538826,45251
need to locate serving northbound and southbound travel.,39.152454,Jackson Creek Shopping Center (Hobby Lobby) ,-86.495697,45252
This stop is located on the east side of S Rogers St. at  the northeast corner of the intersection with W Wilson St..,39.151741,Rogers  & Wilson ,-86.538712,45253
This stop is a shelter located on the east side of S Rogers St. south of the intersection with W Hillside Dr. in front of the Community Kitchen.,39.149971,Rogers  & Hillside  @ Community Kitchen ,-86.538704,45254
This stop is located at the stop sign where the north-south main drive intersects the east-west main drive through Whitehall Plaza. There is no sign for the stop. This is the first of three outbound stops in Whitehall Plaza.,39.162811,Whitehall Plaza Middle,-86.57634,45255
This stop is located on the north side of W 2nd St. at the northeast corner of the intersection with S Euclid Ave. near the Volunteers In Medicine (VIM) Clinic serving outbound travel.,39.16148,2nd  & Euclid ,-86.543243,45257
This stop is located on S Hickory Drive north of W Belle Ave. at the parking lot entrance for St. Pauls Methodist Church.,39.163681,Hickory  & Belle ,-86.585922,45258
This stop is located on the east side of S Rogers St. at the southeast corner of the intersection with W Coolidge Rd..,39.141155,Rogers  & Coolidge ,-86.538757,45259
This stop is located on the south side of E 3rd St. at the southeast corner of the intersection with E Meadowbrook Dr. serving outbound (3) and northbound (8) travel. There is no sign for this stop,39.164139,3rd  & Meadowbrook ,-86.484367,45260
"This stop is located on the north side of E Covenanter Dr. in front of the  Stone Cutters Transit Cafe at Covenanter Gardens Apartments and across from Campus Corner Apartments serving inbound (3, 9) and northbound (8) travel.",39.154118,Campus Corner @ Cafe,-86.492691,45261
This stop is located on the west side of S Clarizz Blvd. north of E Covenanter Dr. at the north entrance to Covenanter Hills Apartments and the Grove Apartments serving inbound (3) and outbound (9) travel.,39.155224,Clarizz Boulevard @ The Groves,-86.490936,45262
This stop is a shelter located on the west side of  S Clarizz Blvd. south of E Stratum Way at the entrance to The Woods at Latimer Townhomes serving inbound (3) and outbound (9) travel.,39.157936,Clarizz Boulevard @ The Woods,-86.490494,45263
This stop is located on the east side of State Road 46 Bypass north of the intersection with E Eastgate Ln. and just south of the railroad track crossing serving inbound travel.,39.169441,46-Bypass & Eastgate ,-86.500809,45264
This stop is located on the north side of E 10th St. northeast corner of the intersection with N Union St. across from Eigemann Hall on the IU Campus serving inbound (9) and westbound (6) travel.,39.171635,10th  & Union ,-86.50927,45267
"This stop is located on the south side of E Atwater Ave. west of the intersection with S Woodlawn Ave. in front of the IU Optometry School serving inbound (7) and outbound (3E, 4S, 5, 9L) travel. ",39.163074,Atwater  & Woodlawn  @ Optometry,-86.522934,45269
"This stop is located on the south side of E Atwater Ave. at the southwest corner of the intersection with S Hawthorne Dr. serving inbound (7) and outbound (3E, 4S, 6, 9L) travel. ",39.163059,Atwater  & Hawthorne ,-86.520317,45270
This stop is located on the south side of E 3rd St. at the southwest corner of the intersection with S Lincoln St. in front of the Bloomington Police Department. ,39.164501,3rd  & Lincoln ,-86.53125,45271
This stop is located on the south side of E 3rd St. east of the intersection with S Grant St.. ,39.164501,3rd  & Grant ,-86.52951,45272
"This stop is located on the south side of E Atwater Ave. at the southwest corner of the intersection with S Fess Ave. across from the Henderson Parking Garage serving inbound (7) and outbound (3E, 4S, 5, 9L) travel.",39.163074,Atwater  & Fess ,-86.525681,45273
"This stop is located on the south side of E Atwater Ave. at the southwest corner of the intersection with S Jordan Ave. serving inbound (7) and outbound (3E, 4S, 5, 9L) travel. ",39.163017,Atwater  & Jordan ,-86.516541,45274
"This stop is an IU bus shelter located on the north side of E 3rd St. west of the intersection with S Jordan Ave. across from Bears Place and TIS Bookstore serving inbound (3, 4, 5, 9,) and outbound (7) travel.",39.16433,3rd  & Jordan ,-86.516968,45275
This stop is located on the west side of S Sare Rd. at the southwest corner of the intersection with S Olson Dr. in front of the north entrance drive to Steeplechase Apartments serving outbound (5) and southbound (8) travel.,39.130661,Sare  @ Steeplechase Apartments North Entrance,-86.502022,45276
This stop is located on the west side of S Sare Rd. at the northwest corner of the intersection with S Southern Oaks Dr. serving outbound (5) and southbound (8) travel.,39.131977,Sare  & Southern Oaks ,-86.500412,45277
This stop is located on the south side of  E Rogers Rd. at the southwest corner of the intersection with S Sare Rd..,39.135868,Rogers  & Sare ,-86.496704,45278
This stop is located on the west side of S High St. at the southwest corner of intersection with E Rockcreek Dr. and north of Childs Elementary School serving outbound travel.,39.139652,High  & Rock Creek  @ Childs ,-86.508316,45279
This stop is located on the west side of S High St. just south of the intersection with E Greenbriar Ln. serving outbound travel.,39.143848,High  & Greenbriar ,-86.508354,45280
This stop is located on the west side of S High St. at the northwest corner of the intersection with E Arden Dr. serving outbound travel.,39.1474,High  & Arden ,-86.508423,45281
This stop is located on the east side of S Rogers St. south of the intersection with W 3rd St. serving inbound travel.,39.164333,Rogers  & 3rd ,-86.538582,45282
This stop is located on the west side of S Sare Rd. at the northwest corner of the intersection with E Canda Dr. serving outbound (5) and southbound (8) travel.,39.126686,Sare  & Canada ,-86.504326,45283
This stop is located on the west side of S Sare Rd. at the northwest corner of the intersection with E Creeks Edge Dr. in front of the south entrance drive to Steeplechase Apartments serving outbound (5) and southbound (8) travel.,39.128265,Sare  @ Steeplechase Apartments South Entrance,-86.50341,45284
This stop is located on the south side of E 6th St. at the southwest corner of the intersection with E Washington St.. There is no sign at the stop.,39.167477,6th  & Washington ,-86.532417,45285
This stop is located on the east side of S Leondard Srpings Rd. at the southeast corner of the intersection with W Farington Dr. serving inbound travel.,39.135838,Leonard Springs  & Fairington ,-86.582565,45286
This stop is a shelter located on the east side of S Leondard Srpings Rd. south of W Barge Ln. in front of central entrance to Woodland Springs Apartments serving inbound travel.,39.134106,Leonard Springs  & Woodland Springs ,-86.582527,45287
This stop is located on the west side of S Leondard Srpings Rd. just north of the intersection with W Farington Dr. serving outbound travel.,39.136112,Leonard Springs  & Fairington ,-86.582687,45288
This stop is located on the west side of S Leondard Srpings Rd. at the southwest corner of the intersection with W Stapleton Ave. serving outbound travel.,39.138226,Leonard Springs  & Stapleton ,-86.582687,45289
This stop is a shelter located on the east side of S Leondard Srpings Rd. at the southeast cornre of the intersection with W Maybury Mall in front of the southern end of Woodland Springs Apartments serving inbound travel.,39.131649,Leonard Springs  & Maybury Mall ,-86.582535,45290
This stop is located on the west side of S Leondard Srpings Rd. south of W Barge Ln. in front of Plaza West and across from the north end of Woodland Springs Apartments serving outbound travel.,39.134304,Leonard Springs  @ Plaza West,-86.582695,45291
This stop is located on the east side of S Leondard Srpings Rd. at the southeast corner of the intersection with W Woodhaven Dr. serving inbound travel.,39.128185,Leonard Springs  & Woodhaven ,-86.582474,45292
This stop is located on the west side of S Leondard Srpings Rd. at the southwest corner of the intersection with W Cedar Chase Dr. serving outbound travel.,39.13031,Leonard Springs  & Cedar Chase,-86.582687,45293
This stop is located on the east side of S Leondard Srpings Rd. at the northeast corner of the intersection with W Cedar Chase Dr. serving inbound travel.,39.130459,Leonard Springs  & Cedar Chase,-86.582504,45294
This stop is a shelter located on the south side of W Heatherwood Dr. in the turnaround west of the intersection with S Leondard Springs Rd. It is the Route 4W Start/End Point,39.126659,Heatherwood Park ,-86.582932,45295
This stop is located on the north side of the east entrance drive to College Mall about 150 ft west of S Clarizz Blvd. behind Kmart.,39.161495,College Mall,-86.491333,45296
